entry,exit,entry_price,exit_price,qty,pnl,symbol
2021-10-22 00:00:00,2022-01-19 00:00:00,146.20229208991063,166.11520049065322,68.39838047032983,1362.010685064819,AAPL
2022-02-10 00:00:00,2022-02-25 00:00:00,170.54783824980302,160.29994902761277,66.62066668017671,-682.7212120469121,AAPL
2022-03-29 00:00:00,2022-04-22 00:00:00,173.04524366744866,162.86331998649476,61.713857293534936,-628.3657850200525,AAPL
2022-07-11 00:00:00,2022-09-02 00:00:00,142.87475015728478,156.74538306849738,70.34779537275283,975.7684457285541,AAPL
2022-10-31 00:00:00,2022-11-14 00:00:00,150.4296858023893,146.41061929985872,73.30130402726182,-294.6028156077773,AAPL
2022-11-21 00:00:00,2022-12-08 00:00:00,147.7278570694692,139.91417193749376,72.64770186892953,-567.6462679654378,AAPL
2023-01-24 00:00:00,2023-03-07 00:00:00,138.03733885696852,151.2899757817228,73.63546076967901,975.8640263675443,AAPL
2023-03-16 00:00:00,2023-08-09 00:00:00,149.92399627831108,178.28018075388943,74.30636424499019,2107.044972240461,AAPL
2023-09-07 00:00:00,2023-09-19 00:00:00,173.07785472031162,175.21452015920798,76.53984428087871,163.54003997346263,AAPL
2023-10-17 00:00:00,2023-10-27 00:00:00,174.53020539673352,164.74224315655874,76.8399490406241,-752.1065197465814,AAPL
2023-11-10 00:00:00,2024-01-04 00:00:00,182.0018509344566,180.02118035232797,69.55305951007512,-137.76169886864773,AAPL
2024-01-30 00:00:00,2024-02-12 00:00:00,188.89726964914567,186.4555144910136,66.2848324561586,-161.85133155574658,AAPL
2024-05-06 00:00:00,2024-08-02 00:00:00,180.62936969068213,217.1592739700989,68.42282935343289,2499.4794068077717,AAPL
2024-08-22 00:00:00,2024-09-17 00:00:00,226.20817644163202,214.03765901971374,65.68574212968558,-799.4294689609706,AAPL
2024-09-30 00:00:00,2024-11-06 00:00:00,228.44256904748684,220.84319196797395,61.54379428944334,-467.69449970945243,AAPL
2024-11-27 00:00:00,2025-01-14 00:00:00,233.0979571354862,233.14305024866175,58.30822433506388,2.6292993590068363,AAPL
2025-02-19 00:00:00,2025-03-12 00:00:00,243.49576133019045,218.8734725871253,55.82913313068228,-1374.6410362186853,AAPL
2025-05-05 00:00:00,2025-05-30 00:00:00,202.133545805734,198.48288172725398,60.45268830135329,-220.6924576293004,AAPL
2025-07-03 00:00:00,2025-08-07 00:00:00,211.4173403137429,217.9060805455124,56.75420835587954,368.2633150810252,AAPL
2025-08-11 00:00:00,2025-12-23 00:00:00,227.3906493795786,270.20258022171305,54.38696415633588,2328.4109481746964,AAPL
2026-02-06 00:00:00,2026-03-10 00:00:00,276.7443750799058,257.28413272413167,53.101343220524974,-1033.3650084885612,AAPL
2026-04-14 00:00:00,2026-06-17 00:00:00,259.1408683302263,300.6995811004639,52.72087388226776,2191.011654669088,AAPL
2021-10-19 00:00:00,2021-12-08 00:00:00,296.6372505936623,322.8403316421924,33.71120781353969,883.3375105820196,MSFT
2022-01-03 00:00:00,2022-01-11 00:00:00,323.201873754267,301.7259078207154,33.67349757030403,-723.1708866833815,MSFT
2022-03-25 00:00:00,2022-04-19 00:00:00,294.7813135187662,269.5465013177218,34.466793375122904,-869.7630579934284,MSFT
2022-06-08 00:00:00,2022-06-14 00:00:00,263.01990194437997,235.82470876842362,35.322055468904495,-960.5901218487033,MSFT
2022-07-08 00:00:00,2022-09-01 00:00:00,256.3211607737045,250.87141223668695,32.4975644574681,-177.10355435872043,MSFT
