entry,exit,entry_price,exit_price,qty,pnl,symbol
2021-10-22 00:00:00,2022-01-19 00:00:00,146.2023074590019,166.11520049065322,68.39837328014951,1362.0094906665745,AAPL
2022-02-10 00:00:00,2022-02-25 00:00:00,170.54785369538848,160.29994902761277,66.62065364340494,-682.7221074425179,AAPL
2022-03-29 00:00:00,2022-04-22 00:00:00,173.04528888576695,162.86335136925322,61.713829090567245,-628.3663517049627,AAPL
2022-07-11 00:00:00,2022-09-02 00:00:00,142.87475015728478,156.74539870531655,70.34777677969312,975.7692878465132,AAPL
2022-10-31 00:00:00,2022-11-14 00:00:00,150.4296705538908,146.4105886556007,73.30129939635374,-294.6039255250289,AAPL
2022-11-21 00:00:00,2022-12-08 00:00:00,147.72781060492892,139.91414149718264,72.64770492362867,-567.6451277104243,AAPL
2023-01-24 00:00:00,2023-03-07 00:00:00,138.03736891423583,151.2899912441443,73.63543181155123,975.8625678982153,AAPL
2023-03-16 00:00:00,2023-08-09 00:00:00,149.92395156342755,178.28022719550464,74.30636477931479,2107.051760899916,AAPL
2023-09-07 00:00:00,2023-09-19 00:00:00,173.07783965852343,175.2144748017642,76.53987143047809,163.53777915748833,AAPL
2023-10-17 00:00:00,2023-10-27 00:00:00,174.53020539673352,164.74227342134412,76.83995640525826,-752.1042662865548,AAPL
2023-11-10 00:00:00,2024-01-04 00:00:00,182.0018358670579,180.02116508104774,69.55308471199022,-137.76176296592894,AAPL
2024-01-30 00:00:00,2024-02-12 00:00:00,188.8972851510074,186.45556055497676,66.284845411218,-161.84933738465952,AAPL
2024-05-06 00:00:00,2024-08-02 00:00:00,180.62936969068213,217.15928917200713,68.42285963026414,2499.481552975554,AAPL
2024-08-22 00:00:00,2024-09-17 00:00:00,226.20816095355747,214.03764384171754,65.68578029098958,-799.4299130360469,AAPL
2024-09-30 00:00:00,2024-11-06 00:00:00,228.44253890253577,220.84319196797395,61.54383380140273,-467.69294473987065,AAPL
2024-11-27 00:00:00,2025-01-14 00:00:00,233.09794189895933,233.1430655959258,58.30826558108254,2.6310845067218906,AAPL
2025-02-19 00:00:00,2025-03-12 00:00:00,243.49576133019045,218.87345711385427,55.82917629814808,-1374.6429629604663,AAPL
2025-05-05 00:00:00,2025-05-30 00:00:00,202.13353021616345,198.48288172725398,60.45273543249777,-220.69168725709278,AAPL
2025-07-03 00:00:00,2025-08-07 00:00:00,211.41730998107576,217.9060805455124,56.75426074625328,368.26537653665036,AAPL
2025-08-11 00:00:00,2025-12-23 00:00:00,227.3906493795786,270.20258022171305,54.38701436148297,2328.413097553981,AAPL
2026-02-06 00:00:00,2026-03-10 00:00:00,276.7443750799058,257.28413272413167,53.101392238902605,-1033.3659623980693,AAPL
2026-04-14 00:00:00,2026-06-17 00:00:00,259.1408683302263,300.6995811004639,52.72092254943036,2191.0136772137193,AAPL
2021-10-19 00:00:00,2021-12-08 00:00:00,296.6372505936623,322.8402705756337,33.71120781353969,883.3354519545701,MSFT
2022-01-03 00:00:00,2022-01-11 00:00:00,323.201873754267,301.7258471259624,33.67349120082533,-723.1727936969055,MSFT
2022-03-25 00:00:00,2022-04-19 00:00:00,294.78122145272584,269.546441578931,34.46679068696054,-869.7618759416109,MSFT
2022-06-08 00:00:00,2022-06-14 00:00:00,263.0198405851348,235.82464792098244,35.32205312590827,-960.5900400524988,MSFT
2022-07-08 00:00:00,2022-09-01 00:00:00,256.3212211845992,250.87148804443885,32.49754625764885,-177.10295481420326,MSFT
2022-10-31 00:00:00,2022-11-02 00:00:00,226.7639167958124,222.37015950199088,35.95240328641168,-157.96613417008393,MSFT
2022-11-18 00:00:00,2022-12-28 00:00:00,236.88785133321196,230.21756330902056,33.74905723651349,-225.1159323124657,MSFT
2023-01-27 00:00:00,2023-03-03 00:00:00,242.21884721780742,245.7004809188316,32.07688340610513,111.6799582905187,MSFT
2023-03-20 00:00:00,2023-08-03 00:00:00,270.12256152286756,318.30548609402376,29.17677677430924,1405.822434546004,MSFT
2023-09-07 00:00:00,2023-09-27 00:00:00,324.4797947431642,305.57439890206905,28.621591434235143,-541.1025156663127,MSFT
2023-10-17 00:00:00,2023-12-20 00:00:00,322.81472063946546,367.66887350676967,27.093019738418253,1215.2344489839033,MSFT
2024-01-11 00:00:00,2024-04-22 00:00:00,378.83246101385987,392.9838994186141,26.294631723115394,372.1068612053641,MSFT
2024-05-16 00:00:00,2024-07-24 00:00:00,415.4812673487595,433.4183171632635,24.87083707591644,446.1094435591258,MSFT
