fast,slow,rs_window,breadth_mid,breadth_high,base_cagr_train,base_dd_train,hedge_cagr_train,hedge_dd_train,hedge_sharpe_train,switches_train,avg_weight_train,base_cagr_test,base_dd_test,hedge_cagr_test,hedge_dd_test,hedge_sharpe_test,switches_test,avg_weight_test,cagr_delta_train,dd_delta_train,score
5,20,10,0.5,0.8,-0.14613541527126922,-0.6205684443416869,-0.06914228322686006,-0.5228040410236383,-0.14336344438066378,275,0.17077297230957333,0.15088854209685298,-0.28188090840313557,-0.0017245657188142416,-0.28109495582421423,0.08744155447399549,222,0.14388041848454242,0.07699313204440916,0.09776440331804859,0.12909279712122
10,20,10,0.6,0.7,-0.14613541527126922,-0.6205684443416869,-0.06054324522510629,-0.5335743019485091,-0.09560974648327913,216,0.153632023915933,0.15088854209685298,-0.28188090840313557,0.009394772588530498,-0.32301829525569753,0.16248619517411833,147,0.13476902131470164,0.08559217004616293,0.08699414239317782,0.12500974009209534
10,20,10,0.5,0.7,-0.14613541527126922,-0.6205684443416869,-0.07658719637719547,-0.525660318298693,-0.14052654572112144,257,0.17111814744144904,0.15088854209685298,-0.28188090840313557,-0.010929586522777923,-0.3039653261341079,0.09368859948621817,197,0.15325701292210292,0.06954821889407375,0.09490812604299392,0.12265590820397473
10,20,10,0.6,0.8,-0.14613541527126922,-0.6205684443416869,-0.08290189415434118,-0.53854017138773,-0.17170324786530605,234,0.1363207312328932,0.15088854209685298,-0.28188090840313557,-0.00915201194421944,-0.32293904294463865,0.07883175495852089,168,0.1111885913762404,0.06323352111692804,0.08202827295395687,0.10505987111915559
10,20,10,0.5,0.8,-0.14613541527126922,-0.6205684443416869,-0.09774440889223612,-0.5291523300549523,-0.21931201184793056,260,0.15380685475840924,0.15088854209685298,-0.28188090840313557,-0.029192019425168414,-0.29894650952923185,0.007077029901188763,206,0.1296765829836417,0.0483910063790331,0.09141611428673457,0.1046460168838546
5,20,10,0.5,0.7,-0.14613541527126922,-0.6205684443416869,-0.07722992559820469,-0.5450787778007271,-0.17529898919791853,271,0.19225068079824753,0.15088854209685298,-0.28188090840313557,-0.03867385551294533,-0.30410289476032604,-0.09811684672270635,216,0.16885842175411558,0.06890548967306453,0.07548966654095979,0.10117746191759613
5,20,10,0.6,0.8,-0.14613541527126922,-0.6205684443416869,-0.09106401943635989,-0.5472397721242046,-0.21762142155016212,234,0.15531448131972972,0.15088854209685298,-0.28188090840313557,0.007549770433580738,-0.30576343711514936,0.133421417348502,179,0.12503579349625665,0.05507139583490933,0.0733286722174823,0.08998329905742886
5,20,10,0.6,0.7,-0.14613541527126922,-0.6205684443416869,-0.0989674110790913,-0.5672644658740185,-0.2474460258750804,206,0.17679218980840392,0.15088854209685298,-0.28188090840313557,-0.029782472806204996,-0.3110094400491789,-0.047007019432745406,156,0.15001379676582982,0.047168004192177926,0.053303978467668434,0.06451567927000337
20,50,10,0.5,0.8,-0.14613541527126922,-0.6205684443416869,-0.1164583538882149,-0.5589727415850297,-0.3109069070442624,213,0.12272994887066223,0.15088854209685298,-0.28188090840313557,0.03263121915058942,-0.27765165442643586,0.2707004294230584,145,0.0959981569603382,0.029677061383054315,0.061595702756657156,0.06088888809597119
10,50,10,0.5,0.8,-0.14613541527126922,-0.6205684443416869,-0.12136128439656751,-0.5638992539934686,-0.33839181238887434,223,0.13733816568869459,0.15088854209685298,-0.28188090840313557,-0.02085499035444882,-0.3119127347251523,0.06903537951140987,164,0.10868402282453637,0.024774130874701705,0.05666919034821827,0.052136665166125404
10,50,10,0.6,0.8,-0.14613541527126922,-0.6205684443416869,-0.10720772688929775,-0.5777756238287803,-0.2438115647676557,162,0.11508428351773549,0.15088854209685298,-0.28188090840313557,-0.0020237397145397296,-0.2948747071354597,0.15001056827965228,123,0.09021685652404803,0.03892768838197147,0.04279282051290656,0.05006608646550951
10,20,5,0.6,0.7,-0.14613541527126922,-0.6205684443416869,-0.11350534460320916,-0.5734487485605912,-0.26931478892542177,257,0.11939122974393648,0.15088854209685298,-0.28188090840313557,0.02562323391240373,-0.35253216861829556,0.26154068176169454,155,0.09498162166664931,0.03263007066806006,0.04711969578109565,0.049968991668854594
5,50,10,0.5,0.7,-0.14613541527126922,-0.6205684443416869,-0.13719447812435187,-0.5555549320663471,-0.3952618309755346,245,0.16946955627700616,0.15088854209685298,-0.28188090840313557,-0.062412275709711695,-0.3249700542914469,-0.1352443370849931,182,0.14123918385622208,0.00894093714691735,0.0650135122753398,0.04972088930002175
20,50,10,0.5,0.7,-0.14613541527126922,-0.6205684443416869,-0.1289131366075379,-0.5688302711871749,-0.3819560046489522,216,0.142058019525479,0.15088854209685298,-0.28188090840313557,0.009053495780753207,-0.2892451909828228,0.17737896653371546,143,0.11212638097816466,0.017222278663731327,0.05173817315451201,0.04125151225393006
5,50,10,0.6,0.7,-0.14613541527126922,-0.6205684443416869,-0.13086468404020446,-0.5739577606839846,-0.326690242741953,175,0.1467774391797076,0.15088854209685298,-0.28188090840313557,-0.08579162392478235,-0.37111346793198435,-0.16948463230973063,127,0.12272223205639493,0.01527073123106476,0.04661068365770227,0.037911537136137
5,20,5,0.5,0.7,-0.14613541527126922,-0.6205684443416869,-0.124406637465592,-0.5783682799877243,-0.3549476119207777,339,0.1541926983230133,0.15088854209685298,-0.28188090840313557,-0.007581599512047399,-0.3110523499128872,0.08735978972968789,223,0.13179555796203546,0.021728777805677224,0.042200164353962566,0.03531717266076229
10,20,5,0.5,0.7,-0.14613541527126922,-0.6205684443416869,-0.12771657822439164,-0.5780451932018573,-0.34911373252558664,324,0.134200038902757,0.15088854209685298,-0.28188090840313557,0.027880410435312808,-0.3387322507172191,0.26265443329488114,201,0.11148730437227318,0.01841883704687758,0.042523251139829576,0.034276983036989034
