strategy,market,params,train_cagr,train_dd,test_cagr,test_dd,test_sharpe,test_trades,win_rate,score
rotation,HSI-vs-HSTECH,"lb20,vol40,reb10",0.1625065914925714,-0.4892401195953988,-0.2257810129965261,-0.5760655001261497,-0.42492358266585706,15,0.4666666666666667,0.0401965615937217
rotation,HSI-vs-HSTECH,"lb20,vol20,reb5",0.1306012519677029,-0.5122595659755399,-0.2512154942508352,-0.6225025968932172,-0.3905308255714878,24,0.3333333333333333,0.002536360473817917
rotation,HSI-vs-HSTECH,"lb20,vol20,reb10",0.12122463853250331,-0.4892401195953988,-0.22991255136148891,-0.5809607548685024,-0.43069586650739616,16,0.4375,-0.0010853913663463888
rotation,HSI-vs-HSTECH,"lb20,vol10,reb5",0.0995731415313661,-0.5122595659755397,-0.2203115603425525,-0.6067859307201025,-0.3066867955227431,23,0.391304347826087,-0.028491749962518825
rotation,HSI-vs-HSTECH,"lb20,vol10,reb10",0.08454079984816376,-0.48924011959539904,-0.220765752931263,-0.5700819443685674,-0.4009615238141718,13,0.46153846153846156,-0.037769230050686
rotation,HSI-vs-HSTECH,"lb20,vol20,reb1",0.08478780037732658,-0.5101698549939522,-0.24111915067857315,-0.5759692032837889,-0.35827755361692915,53,0.5094339622641509,-0.04275466337116146
rotation,HSI-vs-HSTECH,"lb20,vol40,reb5",0.08530803409397048,-0.51225956597554,-0.24742457693416398,-0.6225025968932171,-0.3825604014427877,24,0.3333333333333333,-0.04275685739991453
rotation,HSI-vs-HSTECH,"lb20,vol10,reb1",0.02128321124392185,-0.5437023192150037,-0.2289995639132213,-0.5714612671890175,-0.32245665252567757,51,0.4117647058823529,-0.11464236855982907
crash,2800.HK,"lb3,drop0.07,ma100,h3,sl0.03,tp0.1",-0.05219330981696757,-0.284282564122428,-0.0760506001699961,-0.19750565180469493,-0.9431513804885676,3,0.0,-0.12326395084757458
crash,2800.HK,"lb3,drop0.07,ma50,h3,sl0.03,tp0.1",-0.05219330981696757,-0.284282564122428,-0.0760506001699961,-0.19750565180469493,-0.9431513804885676,3,0.0,-0.12326395084757458
