regime,fast,slow,breakout,exit_fast,sl,trail,hold,cagr_train,worst_train,dd_train,sharpe_train,trades_train,win_train,cagr_test,worst_test,dd_test,sharpe_test,trades_test,win_test,score
200,10,30,20,10,0.03,0.05,20,-0.32279456692646424,-0.43276984769920523,-0.7727659018457375,-0.8467788341013425,135.0,0.2962962962962963,-0.21763096718357533,-0.272985458729625,-0.45032534337543173,-1.403048080748589,52.0,0.23076923076923078,-inf
200,10,30,20,10,0.03,0.05,10,-0.32279456692646424,-0.43276984769920523,-0.7727659018457375,-0.8467788341013425,135.0,0.2962962962962963,-0.21763096718357533,-0.272985458729625,-0.45032534337543173,-1.403048080748589,52.0,0.23076923076923078,-inf
200,10,30,20,10,0.03,0.05,5,-0.32704943361069977,-0.43276984769920523,-0.779397722925073,-0.8728135344352648,138.0,0.3115942028985507,-0.21509256751468936,-0.272985458729625,-0.4452455279310807,-1.3947053508368503,52.0,0.23076923076923078,-inf
200,10,30,20,10,0.03,0.05,3,-0.32652887754961124,-0.4384158223465482,-0.7754271338719207,-0.8671366690228333,147.0,0.32653061224489793,-0.22075255491689222,-0.272985458729625,-0.4507945842188615,-1.4614731834417933,52.0,0.23076923076923078,-inf
200,10,30,20,10,0.03,0.03,20,-0.3204972594137261,-0.4448109665148622,-0.7681220464495453,-0.8810888085248874,169.0,0.378698224852071,-0.22710125666509595,-0.25857828208519695,-0.46625055600139087,-1.68986757349653,62.0,0.22580645161290322,-inf
200,10,30,20,10,0.03,0.03,10,-0.3204972594137261,-0.4448109665148622,-0.7681220464495453,-0.8810888085248874,169.0,0.378698224852071,-0.22710125666509595,-0.25857828208519695,-0.46625055600139087,-1.68986757349653,62.0,0.22580645161290322,-inf
200,10,30,20,10,0.03,0.03,5,-0.3204972594137261,-0.4448109665148622,-0.7681220464495453,-0.8810888085248874,169.0,0.378698224852071,-0.22710125666509595,-0.25857828208519695,-0.46625055600139087,-1.68986757349653,62.0,0.22580645161290322,-inf
200,10,30,20,10,0.03,0.03,3,-0.3214794092696663,-0.4448109665148622,-0.7687055667448454,-0.8862009442648211,172.0,0.38372093023255816,-0.22710125666509595,-0.25857828208519695,-0.46625055600139087,-1.68986757349653,62.0,0.22580645161290322,-inf
200,10,30,20,5,0.05,0.08,20,-0.33775403472458965,-0.4930386008849248,-0.7740384278250888,-0.8301179556460392,104.0,0.25,-0.19692275320076713,-0.2432498552483653,-0.42129516274644707,-1.1328126257498194,39.0,0.20512820512820512,-inf
200,10,30,20,5,0.05,0.08,10,-0.33775403472458965,-0.4930386008849248,-0.7740384278250888,-0.8301179556460392,104.0,0.25,-0.19692275320076713,-0.2432498552483653,-0.42129516274644707,-1.1328126257498194,39.0,0.20512820512820512,-inf
200,10,30,20,5,0.05,0.08,5,-0.33483318732876094,-0.5001323626154506,-0.7663215161770518,-0.8218422363736004,111.0,0.27927927927927926,-0.19839603691461194,-0.2432498552483653,-0.42293934993719917,-1.1455376748375627,41.0,0.1951219512195122,-inf
200,10,30,20,5,0.05,0.08,3,-0.3071974580923911,-0.4979597658221879,-0.7308553208581428,-0.7286526912312541,121.0,0.3140495867768595,-0.18854113901579,-0.23510857022534182,-0.4002771226349436,-1.326879865699655,44.0,0.18181818181818182,-inf
200,10,30,20,5,0.05,0.05,20,-0.34884461079494244,-0.4648727932520651,-0.7991745233658332,-0.9223869198590697,134.0,0.31343283582089554,-0.22148260092518307,-0.28636120520766206,-0.45347275637466006,-1.4752553801806845,50.0,0.24,-inf
200,10,30,20,5,0.05,0.05,10,-0.34884461079494244,-0.4648727932520651,-0.7991745233658332,-0.9223869198590697,134.0,0.31343283582089554,-0.22148260092518307,-0.28636120520766206,-0.45347275637466006,-1.4752553801806845,50.0,0.24,-inf
200,10,30,20,5,0.05,0.05,5,-0.35299138899001337,-0.4648727932520651,-0.805156694350379,-0.9473597387974874,137.0,0.3284671532846715,-0.21892701298548506,-0.28636120520766206,-0.4482786106460681,-1.465759622741424,50.0,0.24,-inf
200,10,30,20,5,0.05,0.05,3,-0.350754649203257,-0.4647732724293274,-0.798309797295496,-0.9385841068482913,145.0,0.3448275862068966,-0.21684322467773803,-0.28636120520766206,-0.4389844041326477,-1.4685080665621462,50.0,0.24,-inf
100,3,10,5,5,0.03,0.05,20,-0.37886904369780783,-0.49843966263914363,-0.8331609087789831,-0.9152775209766582,229.0,0.34934497816593885,-0.29833852481821604,-0.3487822626004442,-0.5812068260302157,-1.6401239992318564,91.0,0.25274725274725274,-inf
100,3,10,5,5,0.03,0.05,10,-0.37886904369780783,-0.49843966263914363,-0.8331609087789831,-0.9152775209766582,229.0,0.34934497816593885,-0.29833852481821604,-0.3487822626004442,-0.5812068260302157,-1.6401239992318564,91.0,0.25274725274725274,-inf
100,3,10,5,5,0.03,0.05,5,-0.37132451224616253,-0.49843966263914363,-0.822372159654305,-0.8846426201740255,235.0,0.3574468085106383,-0.30537362410098157,-0.3487822626004442,-0.5925707373137095,-1.6909893210676912,93.0,0.24731182795698925,-inf
100,3,10,5,5,0.03,0.05,3,-0.3937617824885552,-0.5165060949280262,-0.8454132563285385,-0.9827627051701581,256.0,0.37109375,-0.3088766584272163,-0.3487822626004442,-0.5941012743799843,-1.7392167699152865,96.0,0.2604166666666667,-inf
