test,asset,params,train_cagr,train_dd,test_cagr,test_dd,test_sharpe,trades,win_rate,score
swing,7300.HK,"20/50,vol<0.3,hold10,sl0.05,tp0.06",0.02801423489931687,-0.30954252824278394,-0.06317910442451202,-0.2490645699088191,-0.5357203064964142,30,0.3333333333333333,-0.049371397161379116
swing,7300.HK,"20/30,vol<0.3,hold10,sl0.05,tp0.06",0.013808452112810565,-0.30810405639147365,-0.08075537932826404,-0.305882952987084,-0.6966768416031603,32,0.375,-0.06321756198505785
swing,7300.HK,"20/50,vol<0.2,hold5,sl0.05,tp0.06",-0.0187510214914538,-0.1809402988854305,-0.029503003413665962,-0.1361485158888306,-0.4542229713530291,14,0.2857142857142857,-0.06398609621281143
swing,7300.HK,"20/50,vol<0.2,hold10,sl0.05,tp0.06",-0.018839225741360766,-0.20060375231737515,-0.03442568429957926,-0.1519867629727074,-0.5582418810421973,13,0.3076923076923077,-0.06899016382070455
swing,7300.HK,"20/50,vol<0.3,hold10,sl0.05,tp0.1",-0.0003726174022157247,-0.29985162588302006,-0.06507221679607922,-0.25457179700233923,-0.5400409826867038,30,0.3333333333333333,-0.07533552387297074
swing,7500.HK,"20/30,vol<0.2,hold10,sl0.05,tp0.06",-0.012982061564408176,-0.2799896404389173,-0.08265008438450638,-0.2697307869718989,-0.5239419486329192,18,0.3333333333333333,-0.0829794716741375
swing,7500.HK,"10/30,vol<0.2,hold3,sl0.05,tp0.06",-0.012788131014290327,-0.2909807153610737,-0.08969305601589062,-0.29677306503631484,-0.5382643733444554,23,0.34782608695652173,-0.08553330985455876
swing,7500.HK,"20/30,vol<0.3,hold10,sl0.05,tp0.06",0.026121426376172874,-0.45334117558294784,-0.23310452658928105,-0.5405270797778827,-0.8226939289356031,50,0.4,-0.08721386751956409
swing,7500.HK,"20/30,vol<0.3,hold3,sl0.05,tp0.06",0.02764978979296706,-0.4791427869948466,-0.23855204747214764,-0.5738883682384637,-0.8536681077419568,69,0.4492753623188406,-0.09213590695574458
swing,7500.HK,"10/30,vol<0.2,hold3,sl0.05,tp0.1",-0.03829235676735576,-0.247286353687869,-0.10052202107373287,-0.3123794040345995,-0.6429835427848127,21,0.23809523809523808,-0.10011394518932301
