fast,slow,window,corr_max,tracking_min,weight,cooldown,base_cagr_train,base_dd_train,base_sharpe_train,hedge_cagr_train,hedge_dd_train,hedge_sharpe_train,switches_train,exposure_train,base_cagr_test,base_dd_test,base_sharpe_test,hedge_cagr_test,hedge_dd_test,hedge_sharpe_test,switches_test,exposure_test,cagr_delta_train,dd_delta_train,sharpe_delta_train,score
10,20,20,-0.7,1.0,0.25,5,-0.14613543488471537,-0.6205684443416859,-0.2814757702847636,-0.050703778816685585,-0.3510134995486892,-0.21115577356862794,18,0.1658086736938631,0.15088854209685287,-0.2818809084031356,0.6433660934990112,0.07238250604806001,-0.2409805450668222,0.46582560981962834,12,0.08025910586544768,0.09543165606802978,0.2695549447929967,0.07031999671613567,0.3243027724986251
10,20,20,-0.7,0.5,0.25,5,-0.14613543488471537,-0.6205684443416859,-0.2814757702847636,-0.050703778816685585,-0.3510134995486892,-0.21115577356862794,18,0.1658086736938631,0.15088854209685287,-0.2818809084031356,0.6433660934990112,0.07238250604806001,-0.2409805450668222,0.46582560981962834,12,0.08025910586544768,0.09543165606802978,0.2695549447929967,0.07031999671613567,0.3243027724986251
10,20,20,-0.7,0.5,0.25,10,-0.14613543488471537,-0.6205684443416859,-0.2814757702847636,-0.051270219190643784,-0.3510134995486892,-0.21160201185709512,18,0.16504740694599462,0.15088854209685287,-0.2818809084031356,0.6433660934990112,0.06900029294104193,-0.24106172234442325,0.4548454728597152,12,0.07911859491654258,0.09486521569407158,0.2695549447929967,0.06987375842766849,0.32397492848279935
10,20,20,-0.7,1.0,0.25,10,-0.14613543488471537,-0.6205684443416859,-0.2814757702847636,-0.051270219190643784,-0.3510134995486892,-0.21160201185709512,18,0.16504740694599462,0.15088854209685287,-0.2818809084031356,0.6433660934990112,0.06900029294104193,-0.24106172234442325,0.4548454728597152,12,0.07911859491654258,0.09486521569407158,0.2695549447929967,0.06987375842766849,0.32397492848279935
3,10,20,-0.7,1.0,0.25,10,-0.14613543488471537,-0.6205684443416859,-0.2814757702847636,-0.03297973129373094,-0.37213778148091453,-0.10889114761428627,45,0.14904271430093136,0.15088854209685287,-0.2818809084031356,0.6433660934990112,0.06970569969259321,-0.24098054506682215,0.44179658957215695,36,0.0957899038912086,0.11315570359098442,0.24843066286077137,0.17258462267047736,0.3222669769233113
3,10,20,-0.7,0.5,0.25,10,-0.14613543488471537,-0.6205684443416859,-0.2814757702847636,-0.03297973129373094,-0.37213778148091453,-0.10889114761428627,45,0.14904271430093136,0.15088854209685287,-0.2818809084031356,0.6433660934990112,0.06970569969259321,-0.24098054506682215,0.44179658957215695,36,0.0957899038912086,0.11315570359098442,0.24843066286077137,0.17258462267047736,0.3222669769233113
3,10,20,-0.7,1.0,0.25,5,-0.14613543488471537,-0.6205684443416859,-0.2814757702847636,-0.03434696815300892,-0.3719043840472513,-0.13584307263734927,45,0.15446420714791848,0.15088854209685287,-0.2818809084031356,0.6433660934990112,0.06676625649495882,-0.24098054506682204,0.43410252909061575,38,0.10010302019013506,0.11178846673170645,0.2486640602944346,0.14563269764741435,0.3191215634250293
3,10,20,-0.7,0.5,0.25,5,-0.14613543488471537,-0.6205684443416859,-0.2814757702847636,-0.03434696815300892,-0.3719043840472513,-0.13584307263734927,45,0.15446420714791848,0.15088854209685287,-0.2818809084031356,0.6433660934990112,0.06676625649495882,-0.24098054506682204,0.43410252909061575,38,0.10010302019013506,0.11178846673170645,0.2486640602944346,0.14563269764741435,0.3191215634250293
5,30,20,-0.7,1.0,0.25,5,-0.14613543488471537,-0.6205684443416859,-0.2814757702847636,-0.05125063932565349,-0.3589082632935395,-0.21376593335339197,22,0.16978216771719548,0.15088854209685287,-0.2818809084031356,0.6433660934990112,0.056793532151036163,-0.2409805450668222,0.4035144426198693,14,0.07555226110769808,0.09488479555906187,0.2616601810481464,0.06770983693137164,0.3158735625208145
5,30,20,-0.7,0.5,0.25,5,-0.14613543488471537,-0.6205684443416859,-0.2814757702847636,-0.05125063932565349,-0.3589082632935395,-0.21376593335339197,22,0.16978216771719548,0.15088854209685287,-0.2818809084031356,0.6433660934990112,0.056793532151036163,-0.2409805450668222,0.4035144426198693,14,0.07555226110769808,0.09488479555906187,0.2616601810481464,0.06770983693137164,0.3158735625208145
